service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1000_398129,1,1,1,1,1,1,1,20260225,20260307
1001_398130,1,1,1,1,1,1,1,20260308,20260527
1002_398131,1,1,1,1,1,1,1,20260528,20260613
1003_398132,1,1,1,1,1,1,1,20260614,20261212
100_397108,1,1,1,1,1,1,1,20260606,20260606
1004_398133,1,1,1,1,1,0,0,20260225,20260306
1005_398134,1,1,1,1,1,1,1,20260308,20260613
1006_398135,1,1,1,1,1,0,0,20260225,20260306
1007_398136,1,1,1,1,1,1,1,20260308,20260613
1008_398137,1,1,1,1,1,0,0,20260225,20260306
1009_398138,1,1,1,1,1,0,0,20260309,20260612
1010_398139,0,0,0,0,0,1,1,20260225,20260307
1011_398140,1,1,1,1,1,1,1,20260308,20260308
1012_398141,0,0,0,0,0,1,1,20260314,20260613
1013_398142,0,0,0,0,0,1,1,20260614,20261212
101_397110,1,1,1,1,1,1,1,20260418,20260418
1014_398143,1,1,1,1,1,1,1,20260225,20260307
1015_398144,1,1,1,1,1,0,0,20260309,20260612
1016_398145,1,1,1,1,1,1,1,20260225,20260307
1017_398146,1,1,1,1,1,1,1,20260308,20260613
1018_398147,1,1,1,1,1,1,1,20260225,20260307
1019_398148,1,1,1,1,1,0,0,20260309,20260612
1020_398149,1,1,1,1,1,0,0,20260225,20260306
1021_398150,1,1,1,1,1,1,1,20260308,20260613
1022_398151,1,1,1,1,1,1,1,20260225,20260307
1023_398152,1,1,1,1,1,1,1,20260407,20260613
102_397111,1,1,1,1,1,1,1,20260516,20260516
1024_398153,1,1,1,1,1,0,0,20260225,20260306
1025_398154,1,1,1,1,1,1,1,20260407,20260613
1026_398155,1,1,1,1,1,1,1,20260225,20260307
1027_398156,1,1,1,1,1,1,1,20260407,20260613
1028_398157,1,1,1,1,1,0,0,20260225,20260306
1029_398158,1,1,1,1,1,1,1,20260407,20260613
1030_398159,1,1,1,1,1,1,1,20260225,20260307
1031_398160,1,1,1,1,1,1,1,20260407,20260613
1032_398161,1,1,1,1,1,0,0,20260225,20260306
1033_398162,1,1,1,1,1,1,1,20260407,20260613
103_397112,1,1,1,1,1,1,1,20260606,20260606
1034_398163,0,0,0,0,0,1,1,20260225,20260307
1035_398164,1,1,1,1,1,0,0,20260225,20260306
1036_398165,1,1,1,1,1,1,1,20260407,20260613
1037_398166,1,1,1,1,1,1,1,20260225,20260307
1038_398167,1,1,1,1,1,1,1,20260407,20260613
1039_398168,1,1,1,1,1,1,1,20260225,20260307
10_397004,0,0,0,0,0,1,1,20260225,20260307
1040_398169,1,1,1,1,1,1,1,20260407,20260613
1041_398170,1,1,1,1,1,0,0,20260309,20260612
1042_398171,1,1,1,1,1,0,0,20260225,20260306
1043_398172,1,1,1,1,1,1,1,20260308,20260613
104_397113,1,1,1,1,1,1,1,20260606,20260606
1044_398173,1,1,1,1,1,1,1,20260225,20260307
1045_398174,1,1,1,1,1,1,1,20260225,20260307
1046_398175,1,1,1,1,1,1,1,20260308,20260613
1047_398176,1,1,1,1,1,1,1,20260225,20260307
1048_398177,1,1,1,1,1,1,1,20260308,20260613
1049_398178,1,1,1,1,1,1,1,20260614,20261212
1050_398179,1,1,1,1,1,1,1,20260225,20260307
1051_398180,1,1,1,1,1,1,1,20260308,20260613
1052_398181,1,1,1,1,1,1,1,20260225,20260307
1053_398182,1,1,1,1,1,1,1,20260308,20260613
105_397114,1,1,1,1,1,1,1,20260225,20260307
1054_398183,1,1,1,1,1,1,1,20260614,20261212
1055_398184,1,1,1,1,1,1,1,20260225,20260307
1056_398185,1,1,1,1,1,1,1,20260308,20260613
1057_398186,1,1,1,1,1,1,1,20260614,20261212
1058_398187,1,1,1,1,1,1,1,20260225,20260307
1059_398188,1,1,1,1,1,1,1,20260308,20260613
1060_398189,1,1,1,1,1,1,1,20260614,20261212
1061_398190,1,1,1,1,1,1,1,20260225,20260307
1062_398191,1,1,1,1,1,1,1,20260308,20260613
1063_398192,1,1,1,1,1,1,1,20260614,20261212
106_397115,1,1,1,1,1,1,1,20260308,20260613
1064_398193,1,1,1,1,1,0,0,20260309,20260612
1065_398194,1,1,1,1,1,1,1,20260225,20260307
1066_398195,1,1,1,1,1,1,1,20260614,20261212
1067_398196,1,1,1,1,1,1,1,20260308,20260613
1068_398197,1,1,1,1,1,1,1,20260225,20260307
1069_398198,1,1,1,1,1,0,0,20260309,20260612
1070_398199,1,1,1,1,1,1,1,20260225,20260307
1071_398200,1,1,1,1,1,1,1,20260308,20260613
1072_398201,1,1,1,1,1,1,1,20260614,20261212
1073_398202,1,1,1,1,1,1,1,20260225,20260307
107_397116,1,1,1,1,1,1,1,20260614,20261212
1074_398203,1,1,1,1,1,1,1,20260308,20260613
1075_398204,1,1,1,1,1,1,1,20260614,20261212
1076_398205,1,1,1,1,1,1,1,20260225,20260307
1077_398206,1,1,1,1,1,1,1,20260308,20260613
1078_398207,1,1,1,1,1,1,1,20260614,20261212
1079_398208,1,1,1,1,1,1,1,20260225,20260307
1080_398209,1,1,1,1,1,1,1,20260308,20260613
1081_398210,1,1,1,1,1,1,1,20260614,20261212
1082_398211,1,1,1,1,1,1,1,20260225,20260307
1083_398212,1,1,1,1,1,1,1,20260308,20260613
108_397117,1,1,1,1,1,1,1,20260225,20260307
1084_398213,1,1,1,1,1,1,1,20260614,20261212
1085_398214,1,1,1,1,1,1,1,20260225,20260307
1086_398215,1,1,1,1,1,1,1,20260308,20260613
1087_398216,1,1,1,1,1,1,1,20260614,20261212
1088_398217,1,1,1,1,1,1,1,20260225,20260307
1089_398218,1,1,1,1,1,1,1,20260308,20260613
1090_398219,1,1,1,1,1,1,1,20260614,20261212
1091_398220,1,1,1,1,1,1,1,20260308,20260613
1092_398221,1,1,1,1,1,0,0,20260309,20260612
1093_398222,0,0,0,0,0,1,1,20260308,20260613
109_397118,1,1,1,1,1,1,1,20260308,20260613
1094_398223,1,1,1,1,1,0,0,20260309,20260612
1095_398224,1,1,1,1,1,1,1,20260308,20260613
1096_398225,1,1,1,1,1,1,1,20260308,20260613
1097_398226,1,1,1,1,1,1,1,20260308,20260613
1098_398227,1,1,1,1,1,0,0,20260309,20260612
1099_398228,1,1,1,1,1,1,1,20260308,20260613
1100_398229,1,1,1,1,1,1,1,20260308,20260613
1101_398230,1,1,1,1,1,0,0,20260309,20260612
1102_398231,1,1,1,1,1,0,0,20260309,20260612
1103_398232,1,1,1,1,1,1,1,20260308,20260613
110_397119,1,1,1,1,1,1,1,20260614,20261212
1104_398233,1,1,1,1,1,0,0,20260309,20260612
1105_398234,1,1,1,1,1,1,1,20260308,20260613
1106_398235,1,1,1,1,1,0,0,20260309,20260612
1107_398236,1,1,1,1,1,1,1,20260308,20260613
1108_398237,1,1,1,1,1,0,0,20260309,20260612
1109_398238,1,1,1,1,1,1,1,20260308,20260613
1110_398239,1,1,1,1,1,0,0,20260309,20260612
1111_398240,1,1,1,1,1,1,1,20260308,20260613
1112_398241,1,1,1,1,1,0,0,20260309,20260612
1113_398242,1,1,1,1,1,0,0,20260309,20260612
111_397120,1,1,1,1,1,1,1,20260225,20260307
1114_398243,1,1,1,1,1,1,1,20260308,20260613
1115_398244,1,1,1,1,1,1,1,20260308,20260613
1116_398245,1,1,1,1,1,1,1,20260308,20260613
1117_398246,1,1,1,1,1,0,0,20260309,20260612
1118_398247,1,1,1,1,1,1,1,20260308,20260415
1119_398248,1,1,1,1,1,1,1,20260416,20260611
1120_398249,1,1,1,1,1,1,1,20260612,20260613
1121_398250,1,1,1,1,1,1,1,20260225,20260307
1122_398251,1,1,1,1,1,1,1,20260308,20260613
1123_398252,1,1,1,1,1,1,1,20260404,20260406
112_397121,1,1,1,1,1,1,1,20260308,20260613
1124_398253,1,1,1,1,1,1,1,20260614,20261212
1125_398254,1,1,1,1,1,0,0,20260225,20260306
1126_398255,1,1,1,1,1,0,0,20260309,20260612
1127_398256,1,1,1,1,1,0,0,20260615,20261211
1128_398257,1,1,1,1,1,1,1,20260225,20260307
1129_398258,1,1,1,1,1,1,1,20260308,20260613
1130_398259,1,1,1,1,1,1,1,20260614,20261212
1131_398260,0,0,0,0,0,1,1,20260225,20260307
1132_398261,1,1,1,1,1,0,0,20260225,20260306
1133_398262,0,0,0,0,0,1,1,20260308,20260329
113_397122,1,1,1,1,1,1,1,20260614,20261212
1134_398263,1,1,1,1,1,0,0,20260309,20260612
