trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
37148498_396994,05:36:00,05:36:00,1474824,0,,0,
37148498_396994,05:41:00,05:41:00,1474825,1,,0,
37148498_396994,05:48:00,05:48:00,1474826,2,,0,
37148498_396994,05:55:00,05:55:00,1474827,3,,0,
37148498_396994,05:58:00,05:58:00,1474828,4,,0,
37148498_396994,06:03:00,06:06:00,1474829,5,,0,
37148498_396994,06:11:00,06:12:00,1474830,6,,0,
37148498_396994,06:17:00,06:18:00,1474831,7,,0,
37148498_396994,06:24:00,06:24:00,1474832,8,,0,
37148498_396994,06:33:00,06:33:00,1474758,9,,1,
37148499_396995,06:07:00,06:07:00,1474829,0,,0,
37148499_396995,06:12:00,06:13:00,1474830,1,,0,
37148499_396995,06:18:00,06:19:00,1474831,2,,0,
37148499_396995,06:25:00,06:25:00,1474832,3,,0,
37148499_396995,06:34:00,06:34:00,1474758,4,,1,
37148500_396996,06:07:00,06:07:00,1474829,0,,0,
37148500_396996,06:12:00,06:13:00,1474830,1,,0,
37148500_396996,06:18:00,06:19:00,1474831,2,,0,
37148500_396996,06:25:00,06:25:00,1474832,3,,0,
37148500_396996,06:34:00,06:34:00,1474758,4,,1,
37148501_396997,07:23:00,07:23:00,1474829,0,,0,
37148501_396997,07:28:00,07:29:00,1474830,1,,0,
37148501_396997,07:34:00,07:35:00,1474831,2,,0,
37148501_396997,07:41:00,07:41:00,1474832,3,,0,
37148501_396997,07:50:00,07:50:00,1474758,4,,1,
37148502_396998,07:23:00,07:23:00,1474829,0,,0,
37148502_396998,07:28:00,07:29:00,1474830,1,,0,
37148502_396998,07:34:00,07:35:00,1474831,2,,0,
37148502_396998,07:41:00,07:41:00,1474832,3,,0,
37148502_396998,07:50:00,07:50:00,1474758,4,,1,
37148504_397000,09:23:00,09:23:00,1474829,0,,0,
37148504_397000,09:28:00,09:29:00,1474830,1,,0,
37148504_397000,09:34:00,09:35:00,1474831,2,,0,
37148504_397000,09:41:00,09:41:00,1474832,3,,0,
37148504_397000,09:50:00,09:50:00,1474758,4,,1,
37148505_397001,09:23:00,09:23:00,1474829,0,,0,
37148505_397001,09:28:00,09:29:00,1474830,1,,0,
37148505_397001,09:34:00,09:35:00,1474831,2,,0,
37148505_397001,09:41:00,09:41:00,1474832,3,,0,
37148505_397001,09:50:00,09:50:00,1474758,4,,1,
37148506_397002,09:23:00,09:23:00,1474829,0,,0,
37148506_397002,09:28:00,09:29:00,1474830,1,,0,
37148506_397002,09:34:00,09:35:00,1474831,2,,0,
37148506_397002,09:41:00,09:41:00,1474832,3,,0,
37148506_397002,09:50:00,09:50:00,1474758,4,,1,
37148507_397003,09:23:00,09:23:00,1474829,0,,0,
37148507_397003,09:28:00,09:29:00,1474830,1,,0,
37148507_397003,09:34:00,09:35:00,1474831,2,,0,
37148507_397003,09:41:00,09:41:00,1474832,3,,0,
37148507_397003,09:50:00,09:50:00,1474758,4,,1,
37148508_397004,08:59:00,08:59:00,1474824,0,,0,
37148508_397004,09:04:00,09:04:00,1474825,1,,0,
37148508_397004,09:16:00,09:16:00,1474827,2,,0,
37148508_397004,09:20:00,09:20:00,1474828,3,,0,
37148508_397004,09:24:00,09:25:00,1474829,4,,0,
37148508_397004,09:30:00,09:31:00,1474830,5,,0,
37148508_397004,09:36:00,09:37:00,1474831,6,,0,
37148508_397004,09:43:00,09:43:00,1474832,7,,0,
37148508_397004,09:51:00,09:51:00,1474758,8,,1,
37148509_397005,09:25:00,09:25:00,1474829,0,,0,
37148509_397005,09:30:00,09:31:00,1474830,1,,0,
37148509_397005,09:36:00,09:37:00,1474831,2,,0,
37148509_397005,09:43:00,09:43:00,1474832,3,,0,
37148509_397005,09:51:00,09:51:00,1474758,4,,1,
37148510_397006,11:23:00,11:23:00,1474829,0,,0,
37148510_397006,11:28:00,11:29:00,1474830,1,,0,
37148510_397006,11:34:00,11:35:00,1474831,2,,0,
37148510_397006,11:41:00,11:41:00,1474832,3,,0,
37148510_397006,11:50:00,11:50:00,1474758,4,,1,
37148511_397007,11:21:00,11:21:00,1474829,0,,0,
37148511_397007,11:26:00,11:27:00,1474830,1,,0,
37148511_397007,11:32:00,11:33:00,1474831,2,,0,
