stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,platform_code
1413064,9429,Arnsdorf (b Dresden),,51.093017,13.981679,1,,
1474632,,Arnsdorf (b Dresden),,51.093017,13.981679,0,1413064,
1413065,6021,Bardo Przyłęk,,50.509532,16.758018,1,,
1475207,,Bardo Przyłęk,,50.509532,16.758018,0,1413065,II
1474849,,Bardo Przyłęk,,50.509532,16.758018,0,1413065,I
1413066,6022,Bardo Śląskie,,50.504857,16.733784,1,,
1474644,,Bardo Śląskie,,50.504857,16.733784,0,1413066,I
1474848,,Bardo Śląskie,,50.504857,16.733784,0,1413066,II
1413067,6023,Bartnica,,50.641933,16.407955,1,,
1474813,,Bartnica,,50.641933,16.407955,0,1413067,I
1474765,,Bartnica,,50.641933,16.407955,0,1413067,II
1413068,6025,Batowice Lubańskie,,51.090889,15.155701,1,,
1474942,,Batowice Lubańskie,,51.090889,15.155701,0,1413068,I
1413069,9430,Bautzen,,51.173106,14.428793,1,,
1474626,,Bautzen,,51.173106,14.428793,0,1413069,
1413072,9381,Bernartice u Trutnova,,50.647077,15.958691,1,,
1474828,,Bernartice u Trutnova,,50.647077,15.958691,0,1413072,
1413073,6029,Biała Górna,,51.297944,15.928636,1,,
1475063,,Biała Górna,,51.297944,15.928636,0,1413073,
1474840,,Biała Górna,,51.297944,15.928636,0,1413073,I
1413074,6031,Biały Kościół,,50.728378,17.030043,1,,
1703011,,Biały Kościół,,50.728378,17.030043,0,1413074,I
1474853,,Biały Kościół,,50.728378,17.030043,0,1413074,II
1413075,6032,Bielany Wrocławskie,,51.036155,16.975787,1,,
1474654,,Bielany Wrocławskie,,51.036155,16.975787,0,1413075,I
1474698,,Bielany Wrocławskie,,51.036155,16.975787,0,1413075,II
1413076,7585,Bielawa Centralna,,50.692802,16.620761,1,,
1474686,,Bielawa Centralna,,50.692802,16.620761,0,1413076,I
1413077,7580,Bielawa Zachodnia,,50.685838,16.606755,1,,
1474687,,Bielawa Zachodnia,,50.685838,16.606755,0,1413077,II
1413078,6035,Bierkowice,,50.475534,16.605059,1,,
1474773,,Bierkowice,,50.475534,16.605059,0,1413078,I
2246783,6036,Bierutów,,51.128425,17.546131,1,,
2333183,,Bierutów,,51.128425,17.546131,0,2246783,II
2414690,,Bierutów,,51.128425,17.546131,0,2246783,
2333187,,Bierutów,,51.128425,17.546131,0,2246783,I
1413079,9431,Bischofswerda,,51.125443,14.185871,1,,
1474629,,Bischofswerda,,51.125443,14.185871,0,1413079,
2246785,6039,Biskupice Oławskie,,50.993984,17.515543,1,,
2333191,,Biskupice Oławskie,,50.993984,17.515543,0,2246785,I
1413080,6040,Błażkowa,,50.744254,15.990104,1,,
1474831,,Błażkowa,,50.744254,15.990104,0,1413080,I
1413081,6044,Boguszów-Gorce,,50.750404,16.201639,1,,
1474759,,Boguszów-Gorce,,50.750404,16.201639,0,1413081,II
1474820,,Boguszów-Gorce,,50.750404,16.201639,0,1413081,I
1413083,6045,Boguszów-Gorce Wschód,,50.747926,16.221761,1,,
1475153,,Boguszów-Gorce Wschód,,50.747926,16.221761,0,1413083,II
1474916,,Boguszów-Gorce Wschód,,50.747926,16.221761,0,1413083,I
1413084,6046,Boguszów-Gorce Zachód,,50.76236,16.167264,1,,
1474917,,Boguszów-Gorce Zachód,,50.76236,16.167264,0,1413084,II
1475152,,Boguszów-Gorce Zachód,,50.76236,16.167264,0,1413084,I
1413085,7044,Bojanowo,,51.700677,16.744001,1,,
2414693,,Bojanowo,,51.700677,16.744001,0,1413085,I
1475246,,Bojanowo,,51.700677,16.744001,0,1413085,
1413086,6047,Bolesławice Świdnickie,,50.887692,16.464624,1,,
1474690,,Bolesławice Świdnickie,,50.887692,16.464624,0,1413086,I
1474696,,Bolesławice Świdnickie,,50.887692,16.464624,0,1413086,II
1413087,10,Bolesławiec,,51.266092,15.569574,1,,
1474945,,Bolesławiec,,51.266092,15.569574,0,1413087,I
1475112,,Bolesławiec,,51.266092,15.569574,0,1413087,II
1413088,6049,Boreczek,,50.878928,17.024576,1,,
1474855,,Boreczek,,50.878928,17.024576,0,1413088,I
1475195,,Boreczek,,50.878928,17.024576,0,1413088,II
1413089,6052,Borowa Oleśnicka,,51.184119,17.276103,1,,
1475211,,Borowa Oleśnicka,,51.184119,17.276103,0,1413089,I
1475086,,Borowa Oleśnicka,,51.184119,17.276103,0,1413089,II
1609774,,Borowa Oleśnicka,,51.184119,17.276103,0,1413089,
1807626,6722,Borszyn Mały,,51.673333,16.596007,1,,
1874619,,Borszyn Mały,,51.673333,16.596007,0,1807626,
1807627,6721,Borszyn Wielki,,51.671367,16.636284,1,,
1874618,,Borszyn Wielki,,51.671367,16.636284,0,1807627,
1413090,9432,Breitendorf,,51.138586,14.622877,1,,
1474623,,Breitendorf,,51.138586,14.622877,0,1413090,
1413091,6549,Brochocin Trzebnicki,,51.276035,17.094187,1,,
1474982,,Brochocin Trzebnicki,,51.276035,17.094187,0,1413091,
1474712,,Brochocin Trzebnicki,,51.276035,17.094187,0,1413091,I
2246799,11,Brzeg,,50.852881,17.470911,1,,
2333170,,Brzeg,,50.852881,17.470911,0,2246799,II
1413092,12,Brzeg Dolny,,51.266894,16.725,1,,
1536298,,Brzeg Dolny,,51.266894,16.725,0,1413092,
1474786,,Brzeg Dolny,,51.266894,16.725,0,1413092,II
1413093,6058,Brzeg Głogowski,,51.690987,15.918436,1,,
1475079,,Brzeg Głogowski,,51.690987,15.918436,0,1413093,I
1475242,,Brzeg Głogowski,,51.690987,15.918436,0,1413093,II
1536308,,Brzeg Głogowski,,51.690987,15.918436,0,1413093,
1413094,6060,Brzezinka Średzka,,51.219716,16.836806,1,,
1536295,,Brzezinka Średzka,,51.219716,16.836806,0,1413094,
1475067,,Brzezinka Średzka,,51.219716,16.836806,0,1413094,II
1474789,,Brzezinka Średzka,,51.219716,16.836806,0,1413094,I
1413095,6064,Bukowice Trzebnickie,,51.399495,17.368564,1,,
1536317,,Bukowice Trzebnickie,,51.399495,17.368564,0,1413095,
1475098,,Bukowice Trzebnickie,,51.399495,17.368564,0,1413095,II
1413096,6614,Burkatów,,50.793493,16.473334,1,,
1474797,,Burkatów,,50.793493,16.473334,0,1413096,I
1413097,6615,Bystrzyca Górna,,50.78127,16.456173,1,,
1474798,,Bystrzyca Górna,,50.78127,16.456173,0,1413097,I
1413098,6070,Bystrzyca Kłodzka,,50.296883,16.654959,1,,
1474880,,Bystrzyca Kłodzka,,50.296883,16.654959,0,1413098,I
1413099,6069,Bystrzyca Kłodzka Przedmieście,,50.285645,16.647031,1,,
1474879,,Bystrzyca Kłodzka Przedmieście,,50.285645,16.647031,0,1413099,II
1474884,,Bystrzyca Kłodzka Przedmieście,,50.285645,16.647031,0,1413099,I
1413100,7069,Bytom Odrzański,,51.726609,15.8206,1,,
1475057,,Bytom Odrzański,,51.726609,15.8206,0,1413100,I
1413101,6071,Chełmek Wołowski,,51.456047,16.35949,1,,
1475186,,Chełmek Wołowski,,51.456047,16.35949,0,1413101,II
1475074,,Chełmek Wołowski,,51.456047,16.35949,0,1413101,I
1536304,,Chełmek Wołowski,,51.456047,16.35949,0,1413101,
1413102,6074,Chocianów,,51.41655,15.91198,1,,
1763296,,Chocianów,,51.41655,15.91198,0,1413102,
1474842,,Chocianów,,51.41655,15.91198,0,1413102,I
1413103,902,Chojnów,,51.277673,15.937479,1,,
1475062,,Chojnów,,51.277673,15.937479,0,1413103,
1474839,,Chojnów,,51.277673,15.937479,0,1413103,II
1474946,,Chojnów,,51.277673,15.937479,0,1413103,I
1413104,6076,Chróstnik,,51.355982,16.181035,1,,
1475016,,Chróstnik,,51.355982,16.181035,0,1413104,
1474959,,Chróstnik,,51.355982,16.181035,0,1413104,I
1413105,6573,Chrząstawa Mała,,51.07349,17.276143,1,,
1475176,,Chrząstawa Mała,,51.07349,17.276143,0,1413105,I
1413106,6082,Ciechanowice,,50.865413,15.979858,1,,
1474919,,Ciechanowice,,50.865413,15.979858,0,1413106,I
1475155,,Ciechanowice,,50.865413,15.979858,0,1413106,II
1413108,6083,Cieśle,,51.226448,17.470665,1,,
1474981,,Cieśle,,51.226448,17.470665,0,1413108,
1413107,7088,Cieszków,,51.631359,17.352567,1,,
1609776,,Cieszków,,51.631359,17.352567,0,1413107,
1475095,,Cieszków,,51.631359,17.352567,0,1413107,I
1413110,6086,Czerna,,51.702254,15.88466,1,,
1475241,,Czerna,,51.702254,15.88466,0,1413110,I
1536309,,Czerna,,51.702254,15.88466,0,1413110,
1475080,,Czerna,,51.702254,15.88466,0,1413110,II
1413111,6087,Czerna Mała,,51.229974,16.803546,1,,
1474788,,Czerna Mała,,51.229974,16.803546,0,1413111,II
1475068,,Czerna Mała,,51.229974,16.803546,0,1413111,I
1536296,,Czerna Mała,,51.229974,16.803546,0,1413111,
1413112,6089,Czernica Wrocławska,,51.049672,17.235816,1,,
1474906,,Czernica Wrocławska,,51.049672,17.235816,0,1413112,I
1413113,9433,Demitz-Thumitz,,51.142193,14.239556,1,,
1474628,,Demitz-Thumitz,,51.142193,14.239556,0,1413113,
1413114,9316,Desná,,50.753505,15.308954,1,,
1474606,,Desná,,50.753505,15.308954,0,1413114,
1413115,9313,Desná-Pustinská,,50.764235,15.335626,1,,
1474609,,Desná-Pustinská,,50.764235,15.335626,0,1413115,
1413116,9315,Desná-Riedlova vila,,50.75928,15.3139,1,,
1474607,,Desná-Riedlova vila,,50.75928,15.3139,0,1413116,
1413117,6097,Długołęka,,51.178462,17.194448,1,,
1475085,,Długołęka,,51.178462,17.194448,0,1413117,II
1475212,,Długołęka,,51.178462,17.194448,0,1413117,I
1475224,,Długołęka,,51.178462,17.194448,0,1413117,
1413118,6099,Długopole-Zdrój,,50.23843,16.637997,1,,
1474878,,Długopole-Zdrój,,50.23843,16.637997,0,1413118,I
1413119,6102,Dobroszyce,,51.270505,17.363797,1,,
1475089,,Dobroszyce,,51.270505,17.363797,0,1413119,II
1475216,,Dobroszyce,,51.270505,17.363797,0,1413119,I
1475225,,Dobroszyce,,51.270505,17.363797,0,1413119,
1413120,6104,Dobrzykowice Wrocławskie,,51.08755,17.180029,1,,
